Anime Name,Song Type,Song Name,Song Artist,Mp3 Link,Webm Link
_summer,OP1,Sodasui to Hikoukigumo,Yuma Kosaka,u70jc6.mp3,7lucv2.webm
_summer,ED1,_summer,Yuma Kosaka,b3475h.mp3,jnj2z9.webm
.hack//G.U. Returner,ED1,GOD DIVA,ALI PROJECT,Not Found,b98fyu.webm
.hack//G.U. Trilogy,ED1,Deepest Memories,Tomoyo Mitani (LieN),1tzquf.mp3,x2e4w3.webm
.hack//G.U. Trilogy,IN,Liar's Smile,Tomoyo Mitani (LieN),ws89r4.mp3,sala8m.webm
.hack//GIFT,OP1,Obsession,See-Saw,11ici8.mp3,1a8ot1.webm
.hack//GIFT,ED1,Yasashii Yoake,See-Saw,zbhdcl.mp3,3e8esd.webm
.hack//GIFT,IN,Kimi ga Ita Monogatari,See-Saw,nda20l.mp3,cx7rhi.webm
.hack//GIFT,IN,Warp,Yuriko Kaida,Not Found,Not Found
.hack//Intermezzo,OP1,Obsession,See-Saw,64o8e9.mp3,93lgh4.webm
.hack//Intermezzo,ED1,Yasashii Yoake,See-Saw,hy6npj.mp3,rgfgad.webm
.hack//Legend of the Twilight,OP1,NEW WORLD,ROUND TABLE featuring Nino,uozgos.mp3,lwg9i8.webm
.hack//Legend of the Twilight,ED1,Emerald Green,See-Saw,2icusr.mp3,fx3i75.webm
.hack//Legend of the Twilight,IN,Beautiful,ROUND TABLE featuring Nino,1jwak0.mp3,j2f2fm.webm
.hack//Legend of the Twilight,IN,Dawn,Mai Takahashi,2diihp.mp3,2o486n.webm
.hack//Liminality,OP1,edge,See-Saw,0immxg.mp3,zb29h2.webm
.hack//Liminality,OP2,Senya Ichiya,See-Saw,ml9tm8.mp3,wytyw6.webm
.hack//Liminality,OP3,Kimi ga Ita Monogatari,See-Saw,gfkrl1.mp3,5cswgw.webm
.hack//Liminality,OP4,Kioku,See-Saw,pclzbu.mp3,cb3hjg.webm
.hack//Liminality,ED1,Tasogare no Umi,See-Saw,fyuocs.mp3,q9ellz.webm
.hack//Liminality,IN,edge,See-Saw,tpb02u.mp3,89pz0u.webm
.hack//Liminality,IN,Liminality,Yuri Kasahara,qn1p9n.mp3,4cr9ve.webm
.hack//Liminality,IN,Obsession,See-Saw,qk5p8n.mp3,n7x1dt.webm
.hack//Quantum,ED1,Shizuku,Yuuka Nanri,54t96k.mp3,4n7pea.webm
.hack//Roots,OP1,Silly-Go-Round,FictionJunction YUUKA,affmb6.mp3,q5wjnf.webm
.hack//Roots,ED1,Boukoku Kakusei Catharsis,ALI PROJECT,hz67li.mp3,carh4m.webm
.hack//Roots,ED2,KING KNIGHT,ALI PROJECT,niem9k.mp3,9w0s5p.webm
.hack//Roots,IN,GOD DIVA,ALI PROJECT,n2cn41.mp3,t761ho.webm
.hack//Roots,IN,Hakua Byōtō,ALI PROJECT,zg4xvy.mp3,7i7cac.webm
.hack//Roots,IN,In The World,ALI PROJECT,v5wbfu.mp3,40mi8r.webm
.hack//Roots,IN,Junkyousha no Yubi,ALI PROJECT,qc83m0.mp3,pppstg.webm
.hack//Roots,IN,Maisou no Mori no Tasogarezaka,ALI PROJECT,k9ej58.mp3,kb2ne9.webm
.hack//Roots,IN,Suigetsu Kyōka,ALI PROJECT,fg4qly.mp3,1k5hi5.webm
.hack//Roots,IN,Yogore Naki Akui,ALI PROJECT,7ub0tz.mp3,u8blb5.webm
.hack//SIGN,OP1,Obsession,See-Saw,o8o21v.mp3,%EF%BC%8EHack%EF%BC%8F%EF%BC%8FSIGN-OP01-CDVD.webm
.hack//SIGN,ED1,Yasashii Yoake,See-Saw,hy6npj.mp3,rgfgad.webm
.hack//SIGN,IN,A Stray Child,Emily Bindiger,1s1332.mp3,io6n0p.webm
.hack//SIGN,IN,Aura,Emily Bindiger,uuoql6.mp3,xq1m9f.webm
.hack//SIGN,IN,Aura evil version,Emily Bindiger,gts30o.mp3,1836pv.webm
.hack//SIGN,IN,Das Wandern,Yuriko Kaida,1raf0n.mp3,a1pj20.webm
